datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr
1/4/2024 12:00:00 PM,1/4/2024 7:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,29.190000,28.270000,-0.730000,-0.190000,True,1
1/4/2024 1:00:00 PM,1/4/2024 8:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,34.820000,33.450000,-1.020000,-0.350000,True,1
1/4/2024 2:00:00 PM,1/4/2024 9:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,37.380000,34.770000,-2.310000,-0.300000,True,1
1/4/2024 3:00:00 PM,1/4/2024 10:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,34.790000,34.160000,-0.570000,-0.050000,True,1
1/4/2024 4:00:00 PM,1/4/2024 11:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,33.510000,33.480000,-0.370000,0.330000,True,1
1/4/2024 5:00:00 PM,1/4/2024 12:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,33.020000,31.180000,-2.450000,0.610000,True,1
1/4/2024 6:00:00 PM,1/4/2024 1:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,33.900000,31.880000,-2.790000,0.770000,True,1
1/4/2024 7:00:00 PM,1/4/2024 2:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,31.600000,30.170000,-2.150000,0.720000,True,1
1/4/2024 8:00:00 PM,1/4/2024 3:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,30.170000,28.450000,-2.170000,0.460000,True,1
1/4/2024 9:00:00 PM,1/4/2024 4:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,28.910000,27.390000,-1.650000,0.130000,True,1
1/4/2024 10:00:00 PM,1/4/2024 5:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,67.100000,58.480000,-8.220000,-0.390000,True,1
1/4/2024 11:00:00 PM,1/4/2024 6:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,52.320000,45.520000,-6.370000,-0.430000,True,1
1/5/2024 12:00:00 AM,1/4/2024 7:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,39.860000,35.450000,-4.400000,-0.010000,True,1
1/5/2024 1:00:00 AM,1/4/2024 8:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,32.220000,29.660000,-2.510000,-0.050000,True,1
1/5/2024 2:00:00 AM,1/4/2024 9:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,34.310000,31.620000,-2.360000,-0.320000,True,1
1/5/2024 3:00:00 AM,1/4/2024 10:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,55.080000,48.200000,-6.540000,-0.340000,True,1
1/5/2024 4:00:00 AM,1/4/2024 11:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,48.250000,44.380000,-4.170000,0.300000,True,1
1/5/2024 5:00:00 AM,1/5/2024 12:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,32.510000,31.610000,-1.350000,0.450000,True,1
1/5/2024 6:00:00 AM,1/5/2024 1:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,32.890000,31.410000,-2.120000,0.640000,True,1
1/5/2024 7:00:00 AM,1/5/2024 2:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,32.430000,30.710000,-2.360000,0.640000,True,1
1/5/2024 8:00:00 AM,1/5/2024 3:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,32.010000,30.560000,-2.230000,0.780000,True,1
1/5/2024 9:00:00 AM,1/5/2024 4:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,29.270000,28.130000,-1.990000,0.840000,True,1
1/5/2024 10:00:00 AM,1/5/2024 5:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,29.680000,28.680000,-1.600000,0.590000,True,1
1/5/2024 11:00:00 AM,1/5/2024 6:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,45.690000,45.090000,-0.820000,0.210000,True,1
1/5/2024 12:00:00 PM,1/5/2024 7:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,59.960000,52.460000,-7.190000,-0.310000,True,1
1/5/2024 1:00:00 PM,1/5/2024 8:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,45.490000,37.150000,-8.170000,-0.180000,True,1
1/5/2024 2:00:00 PM,1/5/2024 9:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,31.980000,28.720000,-3.630000,0.370000,True,1
1/5/2024 3:00:00 PM,1/5/2024 10:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,29.040000,27.050000,-2.280000,0.290000,True,1
1/5/2024 4:00:00 PM,1/5/2024 11:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,29.560000,25.250000,-4.760000,0.450000,True,1
1/5/2024 5:00:00 PM,1/5/2024 12:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,26.600000,21.260000,-6.060000,0.720000,True,1
1/5/2024 6:00:00 PM,1/5/2024 1:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,27.460000,15.880000,-12.480000,0.890000,True,1
1/5/2024 7:00:00 PM,1/5/2024 2:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,26.070000,14.940000,-12.090000,0.960000,True,1
1/5/2024 8:00:00 PM,1/5/2024 3:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,30.190000,17.320000,-13.810000,0.940000,True,1
1/5/2024 9:00:00 PM,1/5/2024 4:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,32.500000,26.830000,-6.410000,0.740000,True,1
1/5/2024 10:00:00 PM,1/5/2024 5:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,40.020000,38.960000,-1.720000,0.660000,True,1
1/5/2024 11:00:00 PM,1/5/2024 6:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,33.820000,32.430000,-1.770000,0.380000,True,1
1/6/2024 12:00:00 AM,1/5/2024 7:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,38.880000,36.000000,-3.490000,0.620000,True,1
1/6/2024 1:00:00 AM,1/5/2024 8:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,33.820000,31.980000,-2.680000,0.850000,True,1
1/6/2024 2:00:00 AM,1/5/2024 9:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,34.070000,32.930000,-2.510000,1.370000,True,1
1/6/2024 3:00:00 AM,1/5/2024 10:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,29.010000,28.720000,-1.660000,1.380000,True,1
1/6/2024 4:00:00 AM,1/5/2024 11:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,29.590000,30.190000,-0.960000,1.560000,True,1
1/6/2024 5:00:00 AM,1/6/2024 12:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,31.860000,30.790000,-2.720000,1.640000,True,1
1/6/2024 6:00:00 AM,1/6/2024 1:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,32.450000,31.180000,-3.140000,1.860000,True,1
1/6/2024 7:00:00 AM,1/6/2024 2:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,28.020000,27.670000,-1.900000,1.550000,True,1
1/6/2024 8:00:00 AM,1/6/2024 3:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,27.630000,27.310000,-1.840000,1.520000,True,1
1/6/2024 9:00:00 AM,1/6/2024 4:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,32.060000,31.280000,-2.450000,1.670000,True,1
1/6/2024 10:00:00 AM,1/6/2024 5:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,29.060000,28.560000,-1.880000,1.380000,True,1
1/6/2024 11:00:00 AM,1/6/2024 6:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,25.560000,25.230000,-1.040000,0.710000,True,1
1/6/2024 12:00:00 PM,1/6/2024 7:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,28.560000,28.280000,-0.440000,0.150000,True,1
